id,scene,level,intent,prompt_jp,answer_jp,answer_kr
t1,회사,N4,ask_repeat,ここまでで大丈夫ですか。,すみません、もう一度説明していただけますか。,"죄송한데, 다시 한 번 설명해 주실 수 있나요?"
t2,회사,N4,confirm_ok,この資料でよろしいでしょうか。,はい、こちらで問題ありません。,"네, 이걸로 문제 없습니다."
t3,회사,N3,request,明日までにお願いできますか。,はい、明日までに準備します。,"네, 내일까지 준비하겠습니다."
t4,일상,N5,thanks,手伝ってくれてありがとう。,いえいえ、大丈夫です。,"아니에요, 괜찮아요."
t5,가게,N5,request,ご注文はお決まりですか。,はい、コーヒーをお願いします。,"네, 커피 부탁합니다."
t6,일상,N4,apologize,遅れてすみません。,大丈夫です。気にしないでください。,괜찮아요. 신경 쓰지 마세요.
t7,회사,N3,ask_repeat,では、次に進めますね。,すみません、もう一度だけ確認させてください。,"죄송한데, 한 번만 더 확인하게 해주세요."
t8,가게,N4,confirm_ok,袋はご利用になりますか。,はい、お願いします。,"네, 부탁합니다."
t9,일상,N4,ask_repeat,今、何と言いましたか。,すみません、もう一度言ってください。,"죄송한데, 한 번 더 말해 주세요."
t10,회사,N4,confirm_ok,この内容で進めても大丈夫ですか。,はい、そのままで大丈夫です。,"네, 그대로 진행해도 괜찮습니다."
