id,jp,answer,choices
w1,ありがとうございます,thank you,thank you|good morning|excuse me|good night
w2,すみません,excuse me,excuse me|thank you|delicious|see you
w3,おはよう,good morning,good morning|good night|welcome|sorry
w4,こんばんは,good evening,good evening|good morning|thank you|delicious
w5,いただきます,let's eat,let's eat|thank you|goodbye|where is the station
w6,おいしい,delicious,delicious|cheap|difficult|busy
w7,やすい,cheap,cheap|expensive|hot|cold
w8,たかい,expensive,expensive|cheap|slow|fast
w9,はやい,fast,fast|slow|far|near
w10,ちかい,near,near|far|high|low
w11,とおい,far,far|near|busy|free
w12,いそがしい,busy,busy|free|hot|cold
