id,scene,level,intent,prompt_jp,answer_jp,answer_kr
t1,회사,N4,ask_repeat,ここまでで大丈夫ですか。,すみません、もう一度説明していただけますか。,"죄송한데, 다시 한 번 설명해 주실 수 있나요?"
t2,회사,N4,confirm_ok,この資料でよろしいでしょうか。,はい、こちらで問題ありません。,"네, 이걸로 문제 없습니다."
t3,회사,N3,request,明日までにお願いできますか。,はい、明日までに準備します。,"네, 내일까지 준비하겠습니다."
t4,회사,N4,apologize,遅れてしまい、すみません。,申し訳ありません。すぐ対応します。,죄송합니다. 바로 대응하겠습니다.
t5,회사,N4,confirm,次の予定、合っていますか。,はい、合っています。,"네, 맞습니다."
t6,회사,N3,ask_repeat,では、次に進めますね。,すみません、もう一度だけ確認させてください。,"죄송한데, 한 번만 더 확인하게 해주세요."
t7,회사,N3,refuse,今日中にお願いできますか。,すみません、今日は難しいです。明日でもよろしいでしょうか。,죄송하지만 오늘은 어렵습니다. 내일로 괜찮을까요?
t8,회사,N4,request,こちら、共有してもらえますか。,はい、すぐ共有します。,"네, 바로 공유하겠습니다."
t9,회사,N4,confirm_ok,このまま進めても大丈夫ですか。,はい、そのままで大丈夫です。,"네, 그대로 진행해도 괜찮습니다."
t10,회사,N4,thanks,助かりました、ありがとうございます。,いえいえ、大丈夫です。,"아니에요, 괜찮습니다."
t11,일상,N5,thanks,手伝ってくれてありがとう。,いえいえ、大丈夫です。,"아니에요, 괜찮아요."
t12,일상,N4,ask_repeat,今、何と言いましたか。,すみません、もう一度言ってください。,"죄송한데, 한 번 더 말해 주세요."
t13,일상,N4,confirm_ok,ここで待ってもいいですか。,はい、大丈夫です。,"네, 괜찮아요."
t14,일상,N4,apologize,返事が遅くなってすみません。,大丈夫です。気にしないでください。,괜찮아요. 신경 쓰지 마세요.
t15,일상,N4,request,写真を撮ってもらえますか。,はい、撮りますよ。,"네, 찍어드릴게요."
t16,일상,N3,refuse,今、時間ありますか。,すみません、今はちょっと…。また後でいいですか。,죄송하지만 지금은 좀… 나중에 괜찮을까요?
t17,일상,N4,confirm,今日は何時に会いますか。,7時に会いましょう。,7시에 만나요.
t18,일상,N5,request,水をください。,はい、どうぞ。,"네, 여기요."
t19,일상,N4,confirm_ok,これでいいですか。,はい、それで大丈夫です。,"네, 그걸로 괜찮아요."
t20,일상,N4,thanks,ありがとう、助かった。,どういたしまして。,천만에요.
t21,가게,N5,request,ご注文はお決まりですか。,はい、コーヒーをお願いします。,"네, 커피 부탁합니다."
t22,가게,N4,confirm_ok,袋はご利用になりますか。,はい、お願いします。,"네, 부탁합니다."
t23,가게,N4,confirm,ポイントカードはお持ちですか。,はい、持っています。,"네, 가지고 있어요."
t24,가게,N4,ask_repeat,こちらでよろしいですか。,すみません、もう一度お願いします。,"죄송한데, 다시 한 번 부탁드려요."
t25,가게,N3,refuse,温めますか。,いいえ、そのままで大丈夫です。,"아니요, 그대로 괜찮아요."
t26,가게,N4,apologize,お待たせしてすみません。,大丈夫です。,괜찮습니다.
t27,가게,N4,request,おすすめはありますか。,はい、こちらが人気です。,"네, 이게 인기예요."
t28,가게,N4,confirm_ok,お会計はこちらです。,はい、お願いします。,"네, 부탁합니다."
t29,가게,N5,confirm,これ、いくらですか。,300円です。,300엔입니다.
t30,가게,N4,thanks,ありがとうございます。また来ます。,ありがとうございました。,감사합니다. 또 오세요.
t31,길,N5,request,すみません、駅はどこですか。,まっすぐ行って、右です。,쭉 가서 오른쪽이에요.
t32,길,N4,ask_repeat,右で合っていますか。,はい、右です。,"네, 오른쪽이에요."
t33,길,N4,confirm_ok,ここで降りてもいいですか。,はい、ここで大丈夫です。,"네, 여기서 내려도 돼요."
t34,길,N4,thanks,教えてくれてありがとうございます。,どういたしまして。,천만에요.
t35,길,N3,refuse,写真、撮っていいですか。,すみません、ここでは難しいです。,죄송하지만 여기서는 어려워요.
t36,길,N4,confirm,このバスは新宿に行きますか。,はい、新宿に行きます。,"네, 신주쿠로 가요."
t37,병원,N4,request,予約しています。,お名前をお願いします。,예약했습니다. 성함 부탁드립니다.
t38,병원,N4,confirm_ok,保険証はお持ちですか。,はい、持っています。,"네, 가지고 있어요."
t39,병원,N3,ask_repeat,痛みはいつからですか。,すみません、もう一度お願いします。,죄송한데 다시 한 번 부탁드려요.
t40,병원,N4,apologize,少しお待ちください。,はい、わかりました。,"네, 알겠습니다."
t41,병원,N3,refuse,今日は検査できますか。,すみません、今日は難しいです。明日なら可能です。,죄송하지만 오늘은 어렵습니다. 내일이면 가능합니다.
t42,집,N5,confirm,今、いい？,うん、大丈夫。,"응, 괜찮아."
t43,집,N4,request,窓を閉めてもいいですか。,はい、どうぞ。,"네, 그러세요."
t44,학교,N4,ask_repeat,もう一度言ってもらえますか。,はい、もう一度言います。,"네, 다시 말할게요."
t45,학교,N3,confirm_ok,この課題、今日出しますか。,はい、今日出します。,"네, 오늘 제출합니다."
t46,회사,N4,confirm_ok,このメール、送ってもいいですか。,はい、送ってください。,"네, 보내 주세요."
t47,회사,N3,request,会議の時間を変更できますか。,はい、変更しておきます。,"네, 변경해 둘게요."
t48,회사,N4,thanks,ご対応ありがとうございます。,こちらこそ、ありがとうございます。,이쪽이야말로 감사합니다.
t49,일상,N4,confirm_ok,少し休んでもいいですか。,はい、休んでください。,"네, 쉬세요."
t50,가게,N4,request,領収書をください。,はい、こちらです。,"네, 여기요."
t51,길,N4,confirm,この道で合っていますか。,はい、合っています。,"네, 맞아요."
t52,일상,N3,refuse,今から飲みに行きませんか。,すみません、今日はやめておきます。,죄송하지만 오늘은 그만둘게요.
t53,회사,N3,ask_repeat,この部分、少し速かったです。,すみません、もう少しゆっくり話していただけますか。,죄송한데 조금만 더 천천히 말해주실 수 있나요?
t54,회사,N4,confirm,次の作業、私がやりますか。,はい、お願いします。,"네, 부탁합니다."
